,circuity_avg,clean_intersection_count,clean_intersection_density_km,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion
108,1.0644062220359325,92,99.51623755444142,25959.820872226872,75.9466265822785,23999.134000000005,123,133.04888281735103,4.546762589928058,316,139,150.35605456594953,0.0,15236.583906827318,75.32512834224599,14085.798999999999,187,2.971223021582734,"{0: 0, 1: 16, 2: 2, 3: 94, 4: 24, 5: 3}","{0: 0.0, 1: 0.11510791366906475, 2: 0.014388489208633094, 3: 0.6762589928057554, 4: 0.17266187050359713, 5: 0.02158273381294964}"
109,1.0328476716960988,52,122.05066108428937,35851.083731671926,76.75601507537687,15274.446999999996,77,180.72886352865928,4.574712643678161,199,87,204.2001445064072,0.0,19618.561743246457,72.05637068965522,8358.539000000006,116,2.9655172413793105,"{0: 0, 1: 10, 2: 0, 3: 61, 4: 15, 5: 1}","{0: 0.0, 1: 0.11494252873563218, 2: 0.0, 3: 0.7011494252873564, 4: 0.1724137931034483, 5: 0.011494252873563218}"
110,1.0399859333986345,32,104.16143409582928,26464.78056240485,76.70178301886791,8130.388999999999,47,152.98710632824924,3.8545454545454545,106,55,179.02746485220655,0.0,16426.482755004545,75.3204328358209,5046.469,67,2.8545454545454545,"{0: 0, 1: 8, 2: 0, 3: 39, 4: 8}","{0: 0.0, 1: 0.14545454545454545, 2: 0.0, 3: 0.7090909090909091, 4: 0.14545454545454545}"
111,1.0629147085467747,23,122.64500151585412,30290.81448286331,81.15044285714283,5680.530999999998,28,149.30695836712675,4.375,70,32,170.63652384814486,0.0,16782.14477959601,82.82126315789473,3147.2079999999996,38,2.8125,"{0: 0, 1: 4, 2: 0, 3: 26, 4: 2}","{0: 0.0, 1: 0.125, 2: 0.0, 3: 0.8125, 4: 0.0625}"
112,1.0383794430905662,61,96.50851698270733,28902.45926396399,79.08370562770561,18268.335999999996,80,126.56854686256699,4.529411764705882,231,102,161.3748972497729,0.0,17117.813747846612,83.87311627906975,10819.631999999998,129,2.764705882352941,"{0: 0, 1: 22, 2: 0, 3: 60, 4: 20}","{0: 0.0, 1: 0.21568627450980393, 2: 0.0, 3: 0.5882352941176471, 4: 0.19607843137254902}"
113,1.1539226767236177,78,96.2639390752148,32529.103021785086,74.45601694915248,26357.42999999998,135,166.6106637840256,4.452830188679245,354,159,196.23033734563018,0.005649717514124294,20324.0042900005,76.95316355140189,16467.977000000003,214,2.830188679245283,"{0: 0, 1: 24, 2: 0, 3: 114, 4: 21}","{0: 0.0, 1: 0.1509433962264151, 2: 0.0, 3: 0.7169811320754716, 4: 0.1320754716981132}"
114,1.0456460773375245,115,126.52261018445418,38164.12830890655,74.75961637931036,34688.46200000001,150,165.02949154494024,4.663316582914573,464,199,218.93912544962072,0.0,19621.16819487633,74.93377310924363,17834.237999999983,238,2.5527638190954773,"{0: 0, 1: 49, 2: 2, 3: 137, 4: 11}","{0: 0.0, 1: 0.24623115577889448, 2: 0.010050251256281407, 3: 0.6884422110552764, 4: 0.05527638190954774}"
115,1.0491241023871032,43,154.27183208766635,39369.389426460926,68.58363749999998,10973.381999999996,54,193.7367193659066,4.923076923076923,160,65,233.2016066441468,0.0,19684.694713230467,68.58363749999998,5486.690999999999,80,2.6923076923076925,"{0: 0, 1: 11, 2: 0, 3: 52, 4: 2}","{0: 0.0, 1: 0.16923076923076924, 2: 0.0, 3: 0.8, 4: 0.03076923076923077}"
116,1.1257674211390756,246,34.19314804678172,16209.719686169034,97.34523706176972,116619.59400000013,362,50.31674631274384,4.607692307692307,1198,520,72.27819912327844,0.01001669449081803,8719.823610705873,98.02204218749995,62734.10699999997,640,2.4884615384615385,"{0: 0, 1: 158, 2: 0, 3: 312, 4: 50}","{0: 0.0, 1: 0.3038461538461538, 2: 0.0, 3: 0.6, 4: 0.09615384615384616}"
117,1.0760387865730887,170,51.65580821926364,21511.353040624334,95.28151951547773,70794.16899999995,231,70.19112763911707,4.762820512820513,743,312,94.80360096711915,0.0026917900403768506,11104.796706098645,94.19083505154634,36546.04399999998,388,2.605769230769231,"{0: 0, 1: 81, 2: 0, 3: 193, 4: 37, 5: 1}","{0: 0.0, 1: 0.25961538461538464, 2: 0.0, 3: 0.6185897435897436, 4: 0.11858974358974358, 5: 0.003205128205128205}"
